schemaLocation,contributor,creator,date,description,identifier,language,publisher,relation,rights,subject,title,type
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Moreno, Yamir","Gómez Gardeñes, Jesús",2007,"Resumen Esta Tesis doctoral aborda el estudio de sistemas de muchos elementos (sistemas discretos) interactuantes. La fenomenología presente en estos sistemas esta dada por la presencia de dos ingredientes fundamentales: (i) Complejidad dinámica: Las ecuaciones del movimiento que rigen la evolución de los constituyentes son no lineales de manera que raramente podremos encontrar soluciones analíticas. En el espacio de fases de estos sistemas pueden coexistir diferentes tipos de trayectorias dinámicas (multiestabilidad) y su topología puede variar enormemente dependiendo de dos parámetros usados en las ecuaciones. La conjunción de dinámica no lineal y sistemas de muchos grados de libertad (como los que aquí se estudian) da lugar a propiedades emergentes como la existencia de soluciones localizadas en el espacio, sincronización, caos espacio-temporal, formación de patrones, etc... (ii) Complejidad estructural: Se refiere a la existencia de un alto grado de aleatoriedad en el patrón de las interacciones entre los componentes. En la mayoría de los sistemas estudiados esta aleatoriedad se presenta de forma que la descripción de la influencia del entorno sobre un único elemento del sistema no puede describirse mediante una aproximación de campo medio. El estudio de estos dos ingredientes en sistemas extendidos se realizará de forma separada (Partes I y II de esta Tesis) y conjunta (Parte III). Si bien en los dos primeros casos la fenomenología introducida por cada fuente de complejidad viene siendo objeto de amplios estudios independientes a lo largo de los últimos años, la conjunción de ambas da lugar a un campo abierto y enormemente prometedor, donde la interdisciplinariedad concerniente a los campos de aplicación implica un amplio esfuerzo de diversas comunidades científicas. En particular, este es el caso del estudio de la dinámica en sistemas biológicos cuyo análisis es difícil de abordar con técnicas exclusivas de la Bioquímica, la Física Estadística o la Física Matemática. En definitiva, el objetivo marcado en esta Tesis es estudiar por separado dos fuentes de complejidad inherentes a muchos sistemas de interés para, finalmente, estar en disposición de atacar con nuevas perspectivas problemas relevantes para la Física de procesos celulares, la Neurociencia, Dinámica Evolutiva, etc... ",http://zaguan.unizar.es/record/1877,en,Universidad de Zaragoza; Departamento de Física de la Materia Condensada,http://zaguan.unizar.es/record/1877/files/Tesis_GomezGardenez.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Internet,Complex Systems: Nonlinearity and Structural Complexity in spatially extended and discrete systems,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Latorre Ciria, José Manuel","Cutanda Pérez, Eloy Víctor",2008,"La necesidad de organizar el poblamiento de esta tierra y el aprovechamiento de sus recursos agropastoriles y forestales es la clave que propiciará el nacimiento en la Edad Media de la comunidad de aldeas de Albarracín, al sudoeste de Aragón, siguiendo un modelo común al de otras zonas de la Península Ibérica. Los siglos XVI y XVII vendrán a confirmar el desarrollo pleno de esta institución. La tesis contempla cuatro grandes apartados. El primero se acerca al fenómeno de las comunidades de villa y tierra. La parte dedicada a la población ofrece una visión demográfica introductoria, estrechamente ligada al estudio de la hacienda de la comunidad de aldeas, tercera parte del trabajo. La última sección se centra en las elites que ejercen el predominio político, social y económico en la comunidad, en las diferentes estrategias adoptadas por las familias para su permanencia y promoción en el ejercicio del poder, en los mecanismos de acceso al mismo y en la forma en que esas familias gestionan los pequeños y grandes conflictos. El trabajo se completa con una serie de apéndices: fichero onomástico, cuadros genealógicos y documentos transcritos. ",http://zaguan.unizar.es/record/1879,spa,Universidad de Zaragoza; Departamento de Historia Moderna y Contemporánea,http://zaguan.unizar.es/record/1879/files/TUZ_0002_CPEV_2_parte_1-3.PDF,https://creativecommons.org/licenses/by-nc-nd/3.0/,Elites,"La comunidad de Albarracín en los siglos XVI y XVII (hacienda, elites y poder)",TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Miana Mena, Francisco Javier","Fuentes Broto, Lorena",2008,"En esta investigación se han utilizado homogeneizados y membranas aisladas de hepatocitos obtenidas de ratas macho Sprague-Dawley, en las que se valoró el daño oxidativo producido por los ácidos biliares en los lípidos y proteínas en ausencia o presencia de FeCl3 y ácido ascórbico. El daño oxidativo a los lípidos se estudió mediante la cuantificación de las concentraciones de malonaldehído y 4-hidroxialquenales (MDA+4-HDA), uno de los productos finales de la reacción de peroxidación lipídica, y la determinación de restos carbonilo generados durante la oxidación de las proteínas. Se valoraron siete ácidos biliares: ácido ursodesoxicólico (UDA), desoxicólico (DCA), taurodesoxicólico (TDA), quenodesoxicólico (QCA), tauroquenodesoxicólico (TQA), litocólico (LCA) y taurolitocólico (TLC). Elegido el ácido más prooxidante, TLC, se realizaron cinéticas de tiempo y concentración para establecer sus condiciones óptimas de daño oxidativo. Finalmente se evaluó la capacidad antioxidante de melatonina. Los resultados obtenidos demuestran que la exposición in vitro de homogeneizados o membranas aisladas de tejido hepático a siete ácidos biliares provocó ataque por radicales libres a sus lípidos y proteínas. En todos los casos se constató carbonilación proteica, mientras que sólo los conjugados con taurina indujeron lipoperoxidación en homogeneizados y DCA, UDA, LCA y TLC en las membranas hepáticas. El TLC fue el ácido biliar que implicó mayores niveles de MDA+4-HDA y carbonilación. Las potencias relativas de cada ácido biliar pueden deberse a su estructura química, que rige su grado de hidro-liposolubilidad y su capacidad de transferencia electrónica. Todos los ácidos biliares estudiados potenciaron el efecto prooxidante del hierro salvo el QCA. Esta acción se observó mejor en las membranas que en los homogeneizados. Nuevamente el mayor efecto lo produjo el TLC con excepción de la oxidación proteica de los homogeneizados, en las que sólo el TDA modificó las concentraciones de restos carbonilo con significación estadística. La incubación con TLC de las membranas hepáticas en presencia y ausencia de cloruro férrico y ácido ascórbico aumentó las oxidaciones lipídica y proteica de forma tiempo y concentración dependientes. En los homogeneizados esta acción del TLC sólo se observó potenciando la peroxidación lipídica causada por el hierro. La melatonina previno de forma concentración dependiente el daño oxidativo a los lípidos y proteínas causado por el TLC, especialmente a nivel de las proteínas de las membranas hepáticas. También redujo con gran eficiencia el efecto potenciador del TLC en la oxidación causada por hierro y ascórbico. La acción protectora de la melatonina in vitro frente a la lesión oxidativa causada por ácidos biliares refuerza la necesidad de realizar más estudios farmacológicos que evalúen el papel de la melatonina en la prevención de la hepatotoxicidad de las patologías colestáticas mediada por radicales libres. ",http://zaguan.unizar.es/record/1880,spa,Universidad de Zaragoza; Departamento de Farmacología y Fisiología,http://zaguan.unizar.es/record/1880/files/TUZ_0003_FBL_1.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,envejecimiento,Melatonina como protector frente a los radicales libres en la hepatotoxicidad por ácidos biliares,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"García García, José Joaquín","Reyes Gonzales, Marcos César",2008,"En la literatura científica se ha descrito que algunas indolaminas y ß-carbolinas sintetizadas en la glándula pineal poseen propiedades antioxidantes. En la presente investigación se evaluaron la capacidad antioxidante y protectora de la fluidez de membrana (FM) plasmática, del aminoácido triptófano y 9 de sus metabolitos pineales, frente al daño por radicales libres en un modelo oxidativo, basado en la reacción de Fenton, constituido por tricloruro de hierro y ácido ascórbico. Las membranas se aislaron por centrifugación diferencial a partir de tejido hepático de ratas. El daño oxidativo fue medido utilizando un indicador funcional, FM, e indicadores bioquímicos de lesión a lípidos, malonildialdehido y 4-hidroxialquenales (MDA+4-HDA), y a proteínas, restos carbonilo (RC). Mediante un estudio cinético determinamos el tiempo de exposición de las membranas al sistema oxidativo. La FM se determinó por espectroscopía de fluorescencia, utlizando TMA-DPH como marcador. La peroxidación lipídica se valoró por las concentraciones de MDA+4-HDA y el daño a proteínas por los RC. El análisis estadístico incluyó un estudio descriptivo, media ± error estándar, un test de normalidad y el test t-Student con p = 0,05; gráficamente determinamos porcentajes de inhibición del daño oxidativo para cada molécula y, para comparar sus potencias antioxidantes, calculamos la IC50 (concentración que inhibió al 50% el efecto del daño). Los resultados muestran que el ataque oxidativo, redujo la FM e incrementó las concentraciones de MDA+4-HDA y de RC. Protegen del daño oxidativo las ß-carbolinas, pinolina y triptolina, y las indolaminas, N-acetilserotonina, 5-hidróxitriptófano y melatonina. Destacamos la importancia de los grupos hidroxilo, metoxi y N-acetilo, para dotar o potenciar la eficacia antioxidante de la molécula al aumentar su capacidad de transferencia electrónica y solubilidad en medios lipídico y acuoso. El presente estudio contribuye al conocimiento de las propiedades moleculares antioxidantes in vitro de un amplio grupo de metabolitos pineales del triptófano y anuncia la investigación in vivo para plantear posibles usos terapéuticos. ",http://zaguan.unizar.es/record/1881,spa,Universidad de Zaragoza; Departamento de Farmacología y Fisiología,http://zaguan.unizar.es/record/1881/files/TUZ_0005_MCRG_melatonina.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Triptófano,Melatonina y metabolitos derivados del triptófano como protectores de la fluidez de membranas plasmáticas de hepatocitos frente al estrés oxidativo,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Casanova, Julián","Sancho Larrañaga, Roberto",2008,"La investigación analiza las condiciones que permitieron el surgimiento y consolidación de la violencia política armada en Colombia y España durante la segunda mitad del siglo XX, preguntándonos: ¿qué contextos sociales y condiciones discursivo-simbólicas hicieron posible que un determinado grupo social generase unas prácticas sociales ligadas a la violencia política armada? para ello utilizamos el estudio comparado de dos organizaciones armadas, el Ejército de Liberación Nacional (ELN) y Euskadi Ta Askatasuna (ETA) para investigar este fenómeno social. Defendemos la tesis de que en el nacimiento del ELN y ETA incidieron tanto factores internos como externos, pero fueron los factores externos o el ambiente internacional determinantes para que unos sectores minoritarios de la población de estos países, tomasen conciencia de sus posibilidades para la toma del poder por la vía de la lucha armada; y se sirvieron del marxismo para hacerlo confluir con una larga tradición de lucha de las gentes de estos territorios. ",http://zaguan.unizar.es/record/1882,spa,Universidad de Zaragoza; Departamento de Historia Moderna y Contemporánea,http://zaguan.unizar.es/record/1882/files/TUZ_0004_rsl_1.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Euskadi,La encrucijada de la violencia política armada en la segunda mitad del siglo XX en Colombia y España: ELN y ETA,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Aibar Lete, Joaquín","Anzalone Graci, Alvaro Luciano",2008,"Se llevaron a cabo ensayos durante tres años en Zaragoza (España) y Quíbor (Venezuela) con el objetivo de evaluar el potencial uso de diferentes restos vegetales, plástico biodegradable y papel como cubiertas de suelo para el control de malas hierbas como alternativa al uso de polietileno no degradable, utilizando al tomate como cultivo modelo. Las cubiertas evaluadas en Zaragoza fueron paja de arroz, paja de cebada, restos de cosecha de maíz, restos frescos Artemisia absinthium, plástico biodegradable , papel y polietileno negro, mientras en Quíbor se evaluaron la paja de arroz, restos de cosecha de maíz, serrín de diferentes maderas, papel y polietileno gris-negro. En ambas localidades se incluyeron los tratamientos de desherbado manual, herbicida y testigo sin desherbar. Se determinaron las características físico-químicas más importantes de las cubiertas evaluadas, así como el potencial efecto alelopático de los restos vegetales sobre el cultivo. También se determinó el efecto de las cubiertas sobre la flora arvense y el desarrollo y rendimiento del cultivo; a su vez se evaluó el efecto de los tratamientos sobre algunas características químicas del suelo, la temperatura del mismo, el gasto de agua durante el ciclo de producción del tomate y algunos aspectos económicos de la aplicación de las cubiertas. Como resultados se obtuvo que una dosis de 1 kg.m-2 de restos vegetales recubrió apropiadamente el suelo. No se evidenció efecto alelopático de ninguna de éstas cubiertas sobre el cultivo. Los tratamientos sin control de malezas obtuvieron una producción entre 68% y 71% menor que aquellos donde se aplicó algún tipo de control. Las cubiertas modificaron de forma diferencial la flora arvense y el mejor control de la cobertura del suelo por malezas fue logrado por el papel (93%), el polietileno (78%), control manual (74%) y plástico biodegradable (62%), con similares resultados para la biomasa seca de malas hierbas. Se encontró una alta variación entre años para las variables de desarrollo del cultivo; sin embargo, los tratamientos correspondientes a papel, polietileno y plástico biodegradable obtuvieron mayores valores para estas variables en alguno de los años de ensayo. En ambas localidades el polietileno logró los mejores rendimientos del cultivo, seguido del papel y el plástico biodegradable. Las cubiertas con restos vegetales obtuvieron niveles de rendimientos medios, similares a los del herbicida, con excepción de la A. absinthium, que obtuvo los niveles más bajos de producción, mayores sólo que los del testigo sin desherbar. En ningún caso se registraron diferencias en los parámetros de calidad del fruto entre los diferentes tratamientos aplicados. Los materiales evaluados presentaron niveles de contaminantes aceptables que no se acumularon en el suelo y el aporte de nutrientes al suelo fue de medio a bajo, aunque los restos vegetales lograron aumentar en una media de 30% la materia orgánica del suelo al cabo de tres años. Se observaron diferencias en la temperatura del suelo de acuerdo a la cubierta evaluada, donde las menores temperaturas (22 OC) se registraron en las cubiertas de restos vegetales y el papel y las mayores en los plásticos y el suelo desnudo tratado con herbicida (23-25 OC). El estudio económico indica que los mayores beneficios económicos se obtienen con el uso del polietileno, mientras que las cubiertas de restos vegetales bajo las condiciones ensayadas no generaron beneficios. Con algunas mejoras agronómicas y económicas la técnica de cubiertas de suelo con restos vegetales y papel pueden constituirse en una alternativa viable al uso del polietileno y ser de gran utilidad para la producción ecológica.",http://zaguan.unizar.es/record/1883,spa,Universidad de Zaragoza; Departamento de Agricultura y Economía Agraria,http://zaguan.unizar.es/record/1883/files/TUZ_0006_AA_polietileno.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Artemisia absinthium,Evaluación de alternativas al uso del polietileno como cubierta del suelo para el manejo de malas hierbas y otros aspectos agronómicos en el cultivo del tomate (Lycopersicon esculentum P. Mill.) en España y Venezuela,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Fueyo Díaz, Norberto","Izquierdo Estallo, Salvador",2008,"La ecuación de lattice Boltzmann (LB) es un método de Fluidodinámica Computacional (CFD) basado en la teoría cinética de gases que aproxima la solución de las ecuaciones de Navier-Stokes incompresibles en el límite de números de Mach y de Knudsen bajos. El creciente interés por este método proviene de las mejoras que introduce respecto a las técnicas clásicas de CFD, debido a su alto rendimiento computacional y a la posibilidad de incorporar modelos físicos a un nivel más fundamental debido a su origen cinético. El trabajo de esta Tesis se centra en el desarrollo de nuevas aproximaciones a dos aspectos numéricos: (i) condiciones de contorno, incluyendo la modificación de condiciones de contorno existentes para el tratamiento de la interacción entre contornos y ondas de presión, y la extensión necesaria para incluir condiciones de contorno relacionadas con gradientes de variables macroscópicas; y (ii) precondicionamiento, derivando métodos de lattice Boltzmann equivalentes a precondicionadores temporales de las ecuaciones de Navier-Stokes, y analizando las mejoras obtenidas. Se espera que estas propuestas ayuden a la generalización del uso de los métodos de lattice Boltzmann como una técnica estándar de CFD.",http://zaguan.unizar.es/record/1884,eng,Universidad de Zaragoza; Departamento de Ciencia y Tecnología de Materiales y Fluidos,http://zaguan.unizar.es/record/1884/files/TUZ_0009_IES_01.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,deslizamiento,Computational Gas Dynamics with the Lattice Boltzmann Method: Preconditioning and Boundary Conditions,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Martínez Jarreta, Begoña","González Andrade, Jorge Fabricio",2006,"La Genética Forense es una de las ramas de la biomedicina que ha mostrado un vertiginoso desarrollo científico. A raíz de este crecimiento, numerosas organizaciones internacionales oficiales han adoptado sistemas de análisis de ADN que pudieran ser transferidos y equiparados en distintos países, para favorecer el intercambio de información científica, técnica y pericial, sobre todo en la resolución de caso judiciales como estudios de paternidad y de criminalística forense. Dicho trabajo no podría ser ejecutado sin contar con Bases de Datos poblacionales amplias y adecuadamente estudiadas. En este trabajo se analizaró un total de 1438 muestras de 4 grupos étnicos de Ecuador, entre ellos mestizos, amerindios kichwas, amerindios waorani y negros afroamericanos; se analizó por técnicas manuales y electroforesis capilar 20 microsatélites autonómicos D3S1358, HumFGA, D21S11, Penta E, Penta D, HumVWA, D8S1179, D7S820, D13S317, D5S818, D16S539, HumTH01, HumCSF1PO, HumTPOX, HumF13A01, HumF13B, HumLPL, HumHPRTB, HumFES/FPS y amelogenina; se analizaron también por electroforesis capilar 12 microsatélites del cromosoma Y como DYS19, DYS385 a/b, DYS 389I, DYS389II, DYS390, DYS391, DYS392, DYS392, DYS393, DYS437, DYS438 y DYS439. Todos los grupos étnicos analizados mostraron estar en equilibrio de Hardy-Weinberg para todos los STRs autosómicos analizados. La utilización en forma conjunta de 15 STRs autosómicos (en formato multiplex) ha demostrado poseer una elevada variabilidad y ofrece un Poder de Discriminación (PD) conjunto superior a 0,99999999 y de Poder de Exclusión a priori (MEC) siempre por encima de 0,99999925, la Probabilidad de Matching combinado encontrado es de 1 en 1.27 x 1017 para mestizos. Se ha confirmado y cuantificado que mestizos y afroecuatorianos son poblaciones trihíbridas, con proporciones variables de contribución de amerindios, europeos y africanos. Como se observa a partir de cromosoma «Y», la contribución de los varones europeos (claramente los españoles en el caso de los mestizos) fue mucho mayor que cuando las estimaciones de mezcla se calcularon a partir de los STRs autosómicos. Se ha confirmado y cuantificado con los marcadores STRs autosómicos que mestizos y afroecuatorianos son poblaciones trihíbridas. Los mestizos contienen ~73% de cromosomas autosómicos de origen amerindio, un ~19% europeo putativo y ~8% origen africano. Los afroecuatorianos se pueden estimar en el ~57% africanos, ~28% europeos y ~15% nativos americanos. En mestizos, amerindios kichwas y negros afroamericanos, la diversidad haplotípica del cromosoma «Y» es alta y bastante próxima a uno; se debe observar que este parámetro, en los sistemas haploides como ADN mitocondial y el cromosoma «Y», es numéricamente idéntico a los parámetros forenses de información a priori como el poder de discriminación o el poder de exclusión en los casos de paternidad. Se confirma que los mestizos tienen una corta distancia genética con los españoles y con las poblaciones caucasoides de la península ibérica, mientras que los kichwas claramente nativos del nuevo continente se aproximan a la mayoría de poblaciones urbanas de centroamérica y del área andina, en aquellos sitios donde existe una clara presencia indígena. Siete haplotipos diferentes fueron compartidos entre kichwas y mestizos, uno entre mestizos y afroecuatorianos y uno entre kichwas, afroecuatorianos y mestizos. Este último resulta ser el haplotipo más frecuente en los europeos y, particularmente, en los españoles. El número total de haplotipos diferentes es 276 en toda la muestra analizada. Los mestizos muestran una distancia corta a los kickwas, pero su distancia a los españoles es claramente más corta que entre los kichwas y los españoles. También es este el caso para su respectiva distancia a los guineanos. Esto es consistente con un triple origen genético para los mestizo: amerindios, europeos y africanos, como se demuestra por los STRs en el cromosoma «Y» . Los afroecuatorianos son los más próximos a los guineanos pero están más próximos a los kichwas y a los españoles que lo que lo están los guineanos. Con diferentes proporciones de mezcla, el modelo de triple origen propuesto para los mestizos también aplica a los afroecuatorianos. La herencia haplotípica y la gran posibilidad de combinaciones que ofrecen estos marcadores advierte de la posible existencia de composiciones alélicas todavía sin analizar, y de aquellas en las que se desconoce la frecuencia real. La colaboración de todos los laboratorios forenses permitirá seguir ampliando la base de datos para el cromosoma Y, de este modo se podrá aumentar la precisión estadística a la hora de interpretar los resultados de la investigación de la individualidad biológica en la rutina forense. Los datos obtenidos son de enorma valor antropológico y permitirán trazar mejor la historia de Ecuador en busca de los orígnes de los actuales pobladores del Nuevo Mundo.",http://zaguan.unizar.es/record/1885,spa,"Universidad de Zaragoza; Departamento de Anatomía Patológica, Medicina Legal y Forense y Toxicología",http://zaguan.unizar.es/record/1885/files/TUZ_0013_GAJF_01.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,database,Análisis molecular de variación de polimorfismos STR autosómicos y de cromosoma «Y» en grupos étnicos de Ecuador,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Laínez Gadea, José Antonio","Llena Macarulla, Fernando",1999,"El objetivo de la tesis es investigar las funciones y contribuciones de los contables en la protección del medio ambiente en el ámbito de la gestión empresarial. En la 1ª parte analizamos la relación economía-medio ambiente. La 2ª parte ofrece una visión más pragmática de las funciones específicas de la contabilidad en la consideración del medio ambiente en la gestión, proponiendo algunas técnicas o herramientas de gestión. Finalmente en la 3ª parte, se realiza un estudio empírico a empresas de los sectores químico y petrolífero, para contrastar la aplicación de lo anterior. Como conclusión general, podemos señalar que el papel desempeñado por la contabilidad en la gestión medioambiental de las empresas es bastante reducido. Los contables deben asumir un papel activo aprovechando sus conocimientos de la gestión económico-financiera y desempeñar funciones como diseñar y aplicar de sistemas y técnicas de control, elaborar, presentar y analizar información para la gestión medioambiental. The objective of this research is to investigate possible roles and contributions of the accountants in the protection of the environment in the field of business management. In Part 1 we analyze the relationship economy-environment. In Part 2 provides a more pragmatic view of the specific functions of accounting in consideration of the environment in the management, offering some technical or management tools. Finally the 3rd part, we carry out an empirical study to companies in the chemical and petroleum sector, to discuss the practical implementation proposals made at previous parties. As a conclusion, we note that the role played by accounting in the environmental management of enterprises is fairly low. Accountants must assume a more active role using their economic and financial management experience. Its main functions: the design and implementation of systems and control techniques, and in the preparation, presentation and analysis of information for the environmental management system. ",http://zaguan.unizar.es/record/1887,spa,Universidad de Zaragoza; Departamento de Contabilidad y Finanzas,http://zaguan.unizar.es/record/1887/files/TUZ_0017_llen_01.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Medio Ambiente,La contabilidad en la interacción empresa-medio ambiente. Su contribución a la gestión medioambiental,TESIS
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,"Bastero, Jesús","Bernués Pardo, Julio ",1991,"Se tratan dos cuestiones dentro de la Teoría Local en espacios de Banach . Mediante el uso de nuevas desigualdades de desviación, se consiguen inclusiones métricas del cubo y lineales del espacio lpn ",http://zaguan.unizar.es/record/1888,spa,Universidad de Zaragoza; Departamento de Matemáticas,http://zaguan.unizar.es/record/1888/files/TUZ_0012_bernj_01.pdf,https://creativecommons.org/licenses/by-nc-nd/3.0/,Teoría Local en espacios de Banach,"Inclusiones asintóticas del ln-cubo y de lpn, 0<p<2 en espacios de dimensión finita",TESIS
